Diff,Kunsat,H,DÎ¸Dh,,Diff,Se
0.002888019,1.83E-09,78515.61011,6.32E-07,,0.002888019,0.344375475
0.002921356,1.86E-09,77932.32705,6.38E-07,,0.002921356,0.345376276
0.002955013,1.90E-09,77353.99985,6.43E-07,,0.002955013,0.346377077
0.002988995,1.94E-09,76780.57692,6.49E-07,,0.002988995,0.347377878
0.003023304,1.98E-09,76212.00735,6.54E-07,,0.003023304,0.348378679
0.003057942,2.02E-09,75648.24083,6.60E-07,,0.003057942,0.349379479
0.003092913,2.06E-09,75089.22774,6.65E-07,,0.003092913,0.35038028
0.003128219,2.10E-09,74534.91906,6.71E-07,,0.003128219,0.351381081
0.003163862,2.14E-09,73985.26639,6.77E-07,,0.003163862,0.352381882
0.003199847,2.18E-09,73440.22195,6.82E-07,,0.003199847,0.353382683
0.003236175,2.23E-09,72899.73857,6.88E-07,,0.003236175,0.354383483
0.003272849,2.27E-09,72363.76965,6.94E-07,,0.003272849,0.355384284
0.003309873,2.32E-09,71832.26919,7.00E-07,,0.003309873,0.356385085
0.003347249,2.36E-09,71305.19175,7.05E-07,,0.003347249,0.357385886
0.003384981,2.41E-09,70782.49246,7.11E-07,,0.003384981,0.358386687
0.00342307,2.46E-09,70264.12703,7.17E-07,,0.00342307,0.359387487
0.00346152,2.50E-09,69750.0517,7.23E-07,,0.00346152,0.360388288
0.003500334,2.55E-09,69240.22323,7.29E-07,,0.003500334,0.361389089
0.003539516,2.60E-09,68734.59896,7.35E-07,,0.003539516,0.36238989
0.003579067,2.65E-09,68233.13671,7.41E-07,,0.003579067,0.363390691
0.003618992,2.71E-09,67735.79486,7.48E-07,,0.003618992,0.364391491
0.003659293,2.76E-09,67242.53226,7.54E-07,,0.003659293,0.365392292
0.003699974,2.81E-09,66753.30828,7.60E-07,,0.003699974,0.366393093
0.003741037,2.87E-09,66268.08279,7.66E-07,,0.003741037,0.367393894
0.003782485,2.92E-09,65786.81615,7.73E-07,,0.003782485,0.368394695
0.003824323,2.98E-09,65309.46918,7.79E-07,,0.003824323,0.369395495
0.003866553,3.04E-09,64836.00319,7.85E-07,,0.003866553,0.370396296
0.003909178,3.09E-09,64366.37996,7.92E-07,,0.003909178,0.371397097
0.003952202,3.15E-09,63900.56171,7.98E-07,,0.003952202,0.372397898
0.003995627,3.22E-09,63438.51115,8.05E-07,,0.003995627,0.373398699
0.004039458,3.28E-09,62980.19139,8.11E-07,,0.004039458,0.374399499
0.004083698,3.34E-09,62525.56603,8.18E-07,,0.004083698,0.3754003
0.00412835,3.40E-09,62074.59906,8.24E-07,,0.00412835,0.376401101
0.004173417,3.47E-09,61627.25492,8.31E-07,,0.004173417,0.377401902
0.004218903,3.53E-09,61183.49847,8.38E-07,,0.004218903,0.378402703
0.004264811,3.60E-09,60743.29499,8.45E-07,,0.004264811,0.379403504
0.004311145,3.67E-09,60306.61016,8.51E-07,,0.004311145,0.380404304
0.004357908,3.74E-09,59873.41007,8.58E-07,,0.004357908,0.381405105
0.004405104,3.81E-09,59443.66121,8.65E-07,,0.004405104,0.382405906
0.004452737,3.88E-09,59017.33047,8.72E-07,,0.004452737,0.383406707
0.00450081,3.96E-09,58594.3851,8.79E-07,,0.00450081,0.384407508
0.004549326,4.03E-09,58174.79276,8.86E-07,,0.004549326,0.385408308
0.00459829,4.11E-09,57758.52148,8.93E-07,,0.00459829,0.386409109
0.004647704,4.18E-09,57345.53966,9.00E-07,,0.004647704,0.38740991
0.004697574,4.26E-09,56935.81605,9.07E-07,,0.004697574,0.388410711
0.004747902,4.34E-09,56529.3198,9.15E-07,,0.004747902,0.389411512
0.004798692,4.42E-09,56126.02038,9.22E-07,,0.004798692,0.390412312
0.004849948,4.51E-09,55725.88762,9.29E-07,,0.004849948,0.391413113
0.004901675,4.59E-09,55328.89171,9.36E-07,,0.004901675,0.392413914
0.004953875,4.68E-09,54935.00316,9.44E-07,,0.004953875,0.393414715
0.005006553,4.76E-09,54544.19285,9.51E-07,,0.005006553,0.394415516
0.005059712,4.85E-09,54156.43195,9.59E-07,,0.005059712,0.395416316
0.005113358,4.94E-09,53771.69199,9.66E-07,,0.005113358,0.396417117
0.005167493,5.03E-09,53389.94482,9.74E-07,,0.005167493,0.397417918
0.005222121,5.13E-09,53011.1626,9.81E-07,,0.005222121,0.398418719
0.005277248,5.22E-09,52635.3178,9.89E-07,,0.005277248,0.39941952
0.005332876,5.32E-09,52262.38321,9.97E-07,,0.005332876,0.40042032
0.00538901,5.41E-09,51892.33192,1.00E-06,,0.00538901,0.401421121
0.005445655,5.51E-09,51525.13734,1.01E-06,,0.005445655,0.402421922
0.005502814,5.61E-09,51160.77316,1.02E-06,,0.005502814,0.403422723
0.005560491,5.72E-09,50799.21336,1.03E-06,,0.005560491,0.404423524
0.005618692,5.82E-09,50440.43223,1.04E-06,,0.005618692,0.405424324
0.00567742,5.93E-09,50084.40433,1.04E-06,,0.00567742,0.406425125
0.005736679,6.04E-09,49731.10452,1.05E-06,,0.005736679,0.407425926
0.005796475,6.15E-09,49380.50791,1.06E-06,,0.005796475,0.408426727
0.00585681,6.26E-09,49032.58991,1.07E-06,,0.00585681,0.409427528
0.005917691,6.37E-09,48687.32619,1.08E-06,,0.005917691,0.410428328
0.005979121,6.49E-09,48344.6927,1.08E-06,,0.005979121,0.411429129
0.006041105,6.60E-09,48004.66564,1.09E-06,,0.006041105,0.41242993
0.006103647,6.72E-09,47667.22148,1.10E-06,,0.006103647,0.413430731
0.006166753,6.84E-09,47332.33695,1.11E-06,,0.006166753,0.414431532
0.006230426,6.97E-09,46999.98902,1.12E-06,,0.006230426,0.415432332
0.006294671,7.09E-09,46670.15492,1.13E-06,,0.006294671,0.416433133
0.006359494,7.22E-09,46342.81213,1.14E-06,,0.006359494,0.417433934
0.006424898,7.35E-09,46017.93838,1.14E-06,,0.006424898,0.418434735
0.00649089,7.48E-09,45695.51163,1.15E-06,,0.00649089,0.419435536
0.006557473,7.62E-09,45375.51007,1.16E-06,,0.006557473,0.420436336
0.006624652,7.75E-09,45057.91215,1.17E-06,,0.006624652,0.421437137
0.006692432,7.89E-09,44742.69653,1.18E-06,,0.006692432,0.422437938
0.006760819,8.03E-09,44429.84212,1.19E-06,,0.006760819,0.423438739
0.006829818,8.18E-09,44119.32803,1.20E-06,,0.006829818,0.42443954
0.006899432,8.32E-09,43811.13361,1.21E-06,,0.006899432,0.42544034
0.006969668,8.47E-09,43505.23844,1.22E-06,,0.006969668,0.426441141
0.007040531,8.62E-09,43201.62229,1.22E-06,,0.007040531,0.427441942
0.007112026,8.77E-09,42900.26517,1.23E-06,,0.007112026,0.428442743
0.007184157,8.93E-09,42601.14729,1.24E-06,,0.007184157,0.429443544
0.007256931,9.08E-09,42304.24906,1.25E-06,,0.007256931,0.430444344
0.007330352,9.25E-09,42009.55113,1.26E-06,,0.007330352,0.431445145
0.007404427,9.41E-09,41717.03432,1.27E-06,,0.007404427,0.432445946
0.007479159,9.57E-09,41426.67966,1.28E-06,,0.007479159,0.433446747
0.007554556,9.74E-09,41138.4684,1.29E-06,,0.007554556,0.434447548
0.007630622,9.91E-09,40852.38196,1.30E-06,,0.007630622,0.435448348
0.007707362,1.01E-08,40568.40196,1.31E-06,,0.007707362,0.436449149
0.007784784,1.03E-08,40286.51022,1.32E-06,,0.007784784,0.43744995
0.007862891,1.04E-08,40006.68876,1.33E-06,,0.007862891,0.438450751
0.00794169,1.06E-08,39728.91975,1.34E-06,,0.00794169,0.439451552
0.008021186,1.08E-08,39453.18558,1.35E-06,,0.008021186,0.440452352
0.008101386,1.10E-08,39179.46881,1.36E-06,,0.008101386,0.441453153
0.008182295,1.12E-08,38907.75218,1.37E-06,,0.008182295,0.442453954
0.008263918,1.14E-08,38638.0186,1.38E-06,,0.008263918,0.443454755
0.008346263,1.16E-08,38370.25118,1.39E-06,,0.008346263,0.444455556
0.008429335,1.18E-08,38104.43317,1.40E-06,,0.008429335,0.445456356
0.008513139,1.20E-08,37840.54802,1.41E-06,,0.008513139,0.446457157
0.008597682,1.22E-08,37578.57934,1.42E-06,,0.008597682,0.447457958
0.008682971,1.24E-08,37318.5109,1.43E-06,,0.008682971,0.448458759
0.008769011,1.26E-08,37060.32664,1.44E-06,,0.008769011,0.44945956
0.008855809,1.28E-08,36804.01068,1.45E-06,,0.008855809,0.45046036
0.00894337,1.31E-08,36549.54727,1.46E-06,,0.00894337,0.451461161
0.009031702,1.33E-08,36296.92084,1.47E-06,,0.009031702,0.452461962
0.00912081,1.35E-08,36046.11598,1.48E-06,,0.00912081,0.453462763
0.009210701,1.37E-08,35797.11742,1.49E-06,,0.009210701,0.454463564
0.009301382,1.40E-08,35549.91005,1.50E-06,,0.009301382,0.455464364
0.00939286,1.42E-08,35304.47893,1.51E-06,,0.00939286,0.456465165
0.00948514,1.45E-08,35060.80924,1.53E-06,,0.00948514,0.457465966
0.009578229,1.47E-08,34818.88633,1.54E-06,,0.009578229,0.458466767
0.009672135,1.50E-08,34578.69569,1.55E-06,,0.009672135,0.459467568
0.009766864,1.52E-08,34340.22295,1.56E-06,,0.009766864,0.460468368
0.009862423,1.55E-08,34103.45389,1.57E-06,,0.009862423,0.461469169
0.009958818,1.57E-08,33868.37443,1.58E-06,,0.009958818,0.46246997
0.010056058,1.60E-08,33634.97063,1.59E-06,,0.010056058,0.463470771
0.010154148,1.63E-08,33403.22868,1.60E-06,,0.010154148,0.464471572
0.010253096,1.66E-08,33173.13492,1.62E-06,,0.010253096,0.465472372
0.01035291,1.68E-08,32944.67581,1.63E-06,,0.01035291,0.466473173
0.010453596,1.71E-08,32717.83796,1.64E-06,,0.010453596,0.467473974
0.010555162,1.74E-08,32492.6081,1.65E-06,,0.010555162,0.468474775
0.010657614,1.77E-08,32268.9731,1.66E-06,,0.010657614,0.469475576
0.010760961,1.80E-08,32046.91994,1.67E-06,,0.010760961,0.470476376
0.010865211,1.83E-08,31826.43574,1.69E-06,,0.010865211,0.471477177
0.010970369,1.86E-08,31607.50776,1.70E-06,,0.010970369,0.472477978
0.011076445,1.89E-08,31390.12335,1.71E-06,,0.011076445,0.473478779
0.011183446,1.93E-08,31174.27001,1.72E-06,,0.011183446,0.47447958
0.011291379,1.96E-08,30959.93535,1.73E-06,,0.011291379,0.47548038
0.011400253,1.99E-08,30747.10712,1.75E-06,,0.011400253,0.476481181
0.011510075,2.02E-08,30535.77315,1.76E-06,,0.011510075,0.477481982
0.011620854,2.06E-08,30325.92142,1.77E-06,,0.011620854,0.478482783
0.011732596,2.09E-08,30117.54001,1.78E-06,,0.011732596,0.479483584
0.011845312,2.13E-08,29910.61713,1.80E-06,,0.011845312,0.480484384
0.011959008,2.16E-08,29705.14108,1.81E-06,,0.011959008,0.481485185
0.012073692,2.20E-08,29501.1003,1.82E-06,,0.012073692,0.482485986
0.012189374,2.24E-08,29298.48331,1.83E-06,,0.012189374,0.483486787
0.012306062,2.27E-08,29097.27877,1.85E-06,,0.012306062,0.484487588
0.012423764,2.31E-08,28897.47542,1.86E-06,,0.012423764,0.485488388
0.012542488,2.35E-08,28699.06213,1.87E-06,,0.012542488,0.486489189
0.012662244,2.39E-08,28502.02786,1.89E-06,,0.012662244,0.48748999
0.01278304,2.43E-08,28306.36169,1.90E-06,,0.01278304,0.488490791
0.012904885,2.47E-08,28112.05279,1.91E-06,,0.012904885,0.489491592
0.013027787,2.51E-08,27919.09043,1.93E-06,,0.013027787,0.490492392
0.013151756,2.55E-08,27727.464,1.94E-06,,0.013151756,0.491493193
0.0132768,2.59E-08,27537.16297,1.95E-06,,0.0132768,0.492493994
0.01340293,2.64E-08,27348.17691,1.97E-06,,0.01340293,0.493494795
0.013530153,2.68E-08,27160.49551,1.98E-06,,0.013530153,0.494495596
0.013658479,2.72E-08,26974.10854,1.99E-06,,0.013658479,0.495496396
0.013787919,2.77E-08,26789.00586,2.01E-06,,0.013787919,0.496497197
0.01391848,2.81E-08,26605.17743,2.02E-06,,0.01391848,0.497497998
0.014050172,2.86E-08,26422.61331,2.04E-06,,0.014050172,0.498498799
0.014183006,2.91E-08,26241.30364,2.05E-06,,0.014183006,0.4994996
0.014316991,2.95E-08,26061.23868,2.06E-06,,0.014316991,0.5005004
0.014452137,3.00E-08,25882.40873,2.08E-06,,0.014452137,0.501501201
0.014588453,3.05E-08,25704.80424,2.09E-06,,0.014588453,0.502502002
0.01472595,3.10E-08,25528.41569,2.11E-06,,0.01472595,0.503502803
0.014864637,3.15E-08,25353.23369,2.12E-06,,0.014864637,0.504503604
0.015004525,3.20E-08,25179.24892,2.14E-06,,0.015004525,0.505504404
0.015145624,3.26E-08,25006.45215,2.15E-06,,0.015145624,0.506505205
0.015287944,3.31E-08,24834.83423,2.17E-06,,0.015287944,0.507506006
0.015431497,3.36E-08,24664.38609,2.18E-06,,0.015431497,0.508506807
0.015576292,3.42E-08,24495.09876,2.19E-06,,0.015576292,0.509507608
0.015722339,3.47E-08,24326.96333,2.21E-06,,0.015722339,0.510508408
0.015869651,3.53E-08,24159.971,2.23E-06,,0.015869651,0.511509209
0.016018237,3.59E-08,23994.11301,2.24E-06,,0.016018237,0.51251001
0.016168108,3.65E-08,23829.38071,2.26E-06,,0.016168108,0.513510811
0.016319276,3.71E-08,23665.76552,2.27E-06,,0.016319276,0.514511612
0.016471752,3.77E-08,23503.25894,2.29E-06,,0.016471752,0.515512412
0.016625547,3.83E-08,23341.85255,2.30E-06,,0.016625547,0.516513213
0.016780672,3.89E-08,23181.53799,2.32E-06,,0.016780672,0.517514014
0.016937139,3.95E-08,23022.307,2.33E-06,,0.016937139,0.518514815
0.017094959,4.02E-08,22864.15136,2.35E-06,,0.017094959,0.519515616
0.017254144,4.08E-08,22707.06297,2.37E-06,,0.017254144,0.520516416
0.017414706,4.15E-08,22551.03375,2.38E-06,,0.017414706,0.521517217
0.017576656,4.21E-08,22396.05574,2.40E-06,,0.017576656,0.522518018
0.017740007,4.28E-08,22242.12102,2.41E-06,,0.017740007,0.523518819
0.017904771,4.35E-08,22089.22175,2.43E-06,,0.017904771,0.52451962
0.01807096,4.42E-08,21937.35017,2.45E-06,,0.01807096,0.52552042
0.018238586,4.49E-08,21786.49857,2.46E-06,,0.018238586,0.526521221
0.018407662,4.56E-08,21636.65933,2.48E-06,,0.018407662,0.527522022
0.0185782,4.64E-08,21487.82487,2.50E-06,,0.0185782,0.528522823
0.018750214,4.71E-08,21339.9877,2.51E-06,,0.018750214,0.529523624
0.018923715,4.79E-08,21193.1404,2.53E-06,,0.018923715,0.530524424
0.019098717,4.86E-08,21047.27559,2.55E-06,,0.019098717,0.531525225
0.019275234,4.94E-08,20902.38598,2.56E-06,,0.019275234,0.532526026
0.019453277,5.02E-08,20758.46432,2.58E-06,,0.019453277,0.533526827
0.01963286,5.10E-08,20615.50345,2.60E-06,,0.01963286,0.534527628
0.019813998,5.18E-08,20473.49626,2.62E-06,,0.019813998,0.535528428
0.019996703,5.27E-08,20332.4357,2.63E-06,,0.019996703,0.536529229
0.020180989,5.35E-08,20192.31478,2.65E-06,,0.020180989,0.53753003
0.02036687,5.44E-08,20053.12657,2.67E-06,,0.02036687,0.538530831
0.020554361,5.52E-08,19914.86422,2.69E-06,,0.020554361,0.539531632
0.020743474,5.61E-08,19777.52092,2.71E-06,,0.020743474,0.540532432
0.020934224,5.70E-08,19641.08992,2.72E-06,,0.020934224,0.541533233
0.021126626,5.79E-08,19505.56454,2.74E-06,,0.021126626,0.542534034
0.021320695,5.88E-08,19370.93814,2.76E-06,,0.021320695,0.543534835
0.021516444,5.98E-08,19237.20416,2.78E-06,,0.021516444,0.544535636
0.021713889,6.07E-08,19104.35607,2.80E-06,,0.021713889,0.545536436
0.021913045,6.17E-08,18972.38742,2.82E-06,,0.021913045,0.546537237
0.022113926,6.27E-08,18841.29181,2.83E-06,,0.022113926,0.547538038
0.022316548,6.37E-08,18711.06289,2.85E-06,,0.022316548,0.548538839
0.022520927,6.47E-08,18581.69435,2.87E-06,,0.022520927,0.54953964
0.022727077,6.57E-08,18453.17997,2.89E-06,,0.022727077,0.55054044
0.022935015,6.67E-08,18325.51356,2.91E-06,,0.022935015,0.551541241
0.023144756,6.78E-08,18198.68897,2.93E-06,,0.023144756,0.552542042
0.023356317,6.89E-08,18072.70014,2.95E-06,,0.023356317,0.553542843
0.023569714,7.00E-08,17947.54102,2.97E-06,,0.023569714,0.554543644
0.023784962,7.11E-08,17823.20565,2.99E-06,,0.023784962,0.555544444
0.024002078,7.22E-08,17699.68809,3.01E-06,,0.024002078,0.556545245
0.02422108,7.33E-08,17576.98246,3.03E-06,,0.02422108,0.557546046
0.024441983,7.45E-08,17455.08294,3.05E-06,,0.024441983,0.558546847
0.024664806,7.57E-08,17333.98374,3.07E-06,,0.024664806,0.559547648
0.024889564,7.69E-08,17213.67915,3.09E-06,,0.024889564,0.560548448
0.025116275,7.81E-08,17094.16347,3.11E-06,,0.025116275,0.561549249
0.025344958,7.93E-08,16975.43107,3.13E-06,,0.025344958,0.56255005
0.025575628,8.06E-08,16857.47637,3.15E-06,,0.025575628,0.563550851
0.025808305,8.18E-08,16740.29383,3.17E-06,,0.025808305,0.564551652
0.026043006,8.31E-08,16623.87794,3.19E-06,,0.026043006,0.565552452
0.02627975,8.44E-08,16508.22328,3.21E-06,,0.02627975,0.566553253
0.026518554,8.57E-08,16393.32442,3.23E-06,,0.026518554,0.567554054
0.026759438,8.71E-08,16279.17602,3.25E-06,,0.026759438,0.568554855
0.02700242,8.85E-08,16165.77277,3.28E-06,,0.02700242,0.569555656
0.027247519,8.98E-08,16053.10939,3.30E-06,,0.027247519,0.570556456
0.027494755,9.13E-08,15941.18066,3.32E-06,,0.027494755,0.571557257
0.027744146,9.27E-08,15829.9814,3.34E-06,,0.027744146,0.572558058
0.027995712,9.41E-08,15719.50648,3.36E-06,,0.027995712,0.573558859
0.028249473,9.56E-08,15609.75079,3.38E-06,,0.028249473,0.57455966
0.028505449,9.71E-08,15500.70928,3.41E-06,,0.028505449,0.57556046
0.028763659,9.86E-08,15392.37694,3.43E-06,,0.028763659,0.576561261
0.029024125,1.00E-07,15284.74881,3.45E-06,,0.029024125,0.577562062
0.029286867,1.02E-07,15177.81994,3.47E-06,,0.029286867,0.578562863
0.029551906,1.03E-07,15071.58545,3.50E-06,,0.029551906,0.579563664
0.029819262,1.05E-07,14966.0405,3.52E-06,,0.029819262,0.580564464
0.030088956,1.07E-07,14861.18026,3.54E-06,,0.030088956,0.581565265
0.030361011,1.08E-07,14756.99997,3.57E-06,,0.030361011,0.582566066
0.030635448,1.10E-07,14653.49491,3.59E-06,,0.030635448,0.583566867
0.030912288,1.12E-07,14550.66037,3.61E-06,,0.030912288,0.584567668
0.031191554,1.13E-07,14448.4917,3.64E-06,,0.031191554,0.585568468
0.031473267,1.15E-07,14346.98428,3.66E-06,,0.031473267,0.586569269
0.031757452,1.17E-07,14246.13354,3.68E-06,,0.031757452,0.58757007
0.03204413,1.19E-07,14145.93494,3.71E-06,,0.03204413,0.588570871
0.032333324,1.21E-07,14046.38396,3.73E-06,,0.032333324,0.589571672
0.032625057,1.23E-07,13947.47613,3.76E-06,,0.032625057,0.590572472
0.032919354,1.24E-07,13849.20703,3.78E-06,,0.032919354,0.591573273
0.033216238,1.26E-07,13751.57226,3.80E-06,,0.033216238,0.592574074
0.033515733,1.28E-07,13654.56746,3.83E-06,,0.033515733,0.593574875
0.033817862,1.30E-07,13558.18829,3.85E-06,,0.033817862,0.594575676
0.034122652,1.32E-07,13462.43046,3.88E-06,,0.034122652,0.595576476
0.034430125,1.34E-07,13367.28973,3.90E-06,,0.034430125,0.596577277
0.034740308,1.37E-07,13272.76185,3.93E-06,,0.034740308,0.597578078
0.035053226,1.39E-07,13178.84266,3.96E-06,,0.035053226,0.598578879
0.035368904,1.41E-07,13085.52797,3.98E-06,,0.035368904,0.59957968
0.035687368,1.43E-07,12992.81369,4.01E-06,,0.035687368,0.60058048
0.036008645,1.45E-07,12900.6957,4.03E-06,,0.036008645,0.601581281
0.03633276,1.47E-07,12809.16996,4.06E-06,,0.03633276,0.602582082
0.03665974,1.50E-07,12718.23244,4.09E-06,,0.03665974,0.603582883
0.036989613,1.52E-07,12627.87914,4.11E-06,,0.036989613,0.604583684
0.037322405,1.54E-07,12538.10611,4.14E-06,,0.037322405,0.605584484
0.037658145,1.57E-07,12448.9094,4.16E-06,,0.037658145,0.606585285
0.037996859,1.59E-07,12360.28513,4.19E-06,,0.037996859,0.607586086
0.038338576,1.62E-07,12272.22942,4.22E-06,,0.038338576,0.608586887
0.038683325,1.64E-07,12184.73843,4.25E-06,,0.038683325,0.609587688
0.039031134,1.67E-07,12097.80836,4.27E-06,,0.039031134,0.610588488
0.039382033,1.69E-07,12011.43542,4.30E-06,,0.039382033,0.611589289
0.03973605,1.72E-07,11925.61586,4.33E-06,,0.03973605,0.61259009
0.040093216,1.75E-07,11840.34598,4.36E-06,,0.040093216,0.613590891
0.04045356,1.77E-07,11755.62207,4.38E-06,,0.04045356,0.614591692
0.040817114,1.80E-07,11671.44047,4.41E-06,,0.040817114,0.615592492
0.041183907,1.83E-07,11587.79755,4.44E-06,,0.041183907,0.616593293
0.04155397,1.86E-07,11504.68971,4.47E-06,,0.04155397,0.617594094
0.041927336,1.89E-07,11422.11337,4.50E-06,,0.041927336,0.618594895
0.042304035,1.92E-07,11340.06497,4.53E-06,,0.042304035,0.619595696
0.042684101,1.95E-07,11258.54101,4.56E-06,,0.042684101,0.620596496
0.043067564,1.98E-07,11177.53797,4.59E-06,,0.043067564,0.621597297
0.043454459,2.01E-07,11097.05241,4.62E-06,,0.043454459,0.622598098
0.043844818,2.04E-07,11017.08087,4.65E-06,,0.043844818,0.623598899
0.044238675,2.07E-07,10937.61994,4.68E-06,,0.044238675,0.6245997
0.044636064,2.10E-07,10858.66623,4.71E-06,,0.044636064,0.625600501
0.045037019,2.13E-07,10780.21639,4.74E-06,,0.045037019,0.626601301
0.045441574,2.17E-07,10702.26707,4.77E-06,,0.045441574,0.627602102
0.045849766,2.20E-07,10624.81497,4.80E-06,,0.045849766,0.628602903
0.046261629,2.23E-07,10547.85681,4.83E-06,,0.046261629,0.629603704
0.046677199,2.27E-07,10471.38931,4.86E-06,,0.046677199,0.630604505
0.047096512,2.30E-07,10395.40926,4.89E-06,,0.047096512,0.631605305
0.047519606,2.34E-07,10319.91343,4.92E-06,,0.047519606,0.632606106
0.047946517,2.37E-07,10244.89864,4.95E-06,,0.047946517,0.633606907
0.048377282,2.41E-07,10170.36174,4.98E-06,,0.048377282,0.634607708
0.048811941,2.45E-07,10096.29958,5.02E-06,,0.048811941,0.635608509
0.049250531,2.49E-07,10022.70906,5.05E-06,,0.049250531,0.636609309
0.04969309,2.52E-07,9949.587076,5.08E-06,,0.04969309,0.63761011
0.050139659,2.56E-07,9876.930569,5.11E-06,,0.050139659,0.638610911
0.050590278,2.60E-07,9804.736496,5.15E-06,,0.050590278,0.639611712
0.051044985,2.64E-07,9733.001836,5.18E-06,,0.051044985,0.640612513
0.051503823,2.68E-07,9661.723594,5.21E-06,,0.051503823,0.641613313
0.051966831,2.73E-07,9590.898793,5.25E-06,,0.051966831,0.642614114
0.052434052,2.77E-07,9520.524483,5.28E-06,,0.052434052,0.643614915
0.052905529,2.81E-07,9450.597734,5.31E-06,,0.052905529,0.644615716
0.053381302,2.85E-07,9381.115637,5.35E-06,,0.053381302,0.645616517
0.053861416,2.90E-07,9312.075308,5.38E-06,,0.053861416,0.646617317
0.054345915,2.94E-07,9243.473881,5.42E-06,,0.054345915,0.647618118
0.054834841,2.99E-07,9175.308515,5.45E-06,,0.054834841,0.648618919
0.055328241,3.03E-07,9107.576387,5.48E-06,,0.055328241,0.64961972
0.055826159,3.08E-07,9040.274697,5.52E-06,,0.055826159,0.650620521
0.05632864,3.13E-07,8973.400666,5.55E-06,,0.05632864,0.651621321
0.056835731,3.18E-07,8906.951535,5.59E-06,,0.056835731,0.652622122
0.05734748,3.23E-07,8840.924565,5.63E-06,,0.05734748,0.653622923
0.057863932,3.28E-07,8775.31704,5.66E-06,,0.057863932,0.654623724
0.058385137,3.33E-07,8710.12626,5.70E-06,,0.058385137,0.655624525
0.058911142,3.38E-07,8645.349549,5.73E-06,,0.058911142,0.656625325
0.059441997,3.43E-07,8580.984248,5.77E-06,,0.059441997,0.657626126
0.059977752,3.48E-07,8517.02772,5.81E-06,,0.059977752,0.658626927
0.060518456,3.54E-07,8453.477346,5.85E-06,,0.060518456,0.659627728
0.06106416,3.59E-07,8390.330527,5.88E-06,,0.06106416,0.660628529
0.061614917,3.65E-07,8327.584682,5.92E-06,,0.061614917,0.661629329
0.062170778,3.70E-07,8265.23725,5.96E-06,,0.062170778,0.66263013
0.062731796,3.76E-07,8203.285689,6.00E-06,,0.062731796,0.663630931
0.063298024,3.82E-07,8141.727476,6.03E-06,,0.063298024,0.664631732
0.063869517,3.88E-07,8080.560106,6.07E-06,,0.063869517,0.665632533
0.064446328,3.94E-07,8019.781091,6.11E-06,,0.064446328,0.666633333
0.065028515,4.00E-07,7959.387963,6.15E-06,,0.065028515,0.667634134
0.065616131,4.06E-07,7899.378272,6.19E-06,,0.065616131,0.668634935
0.066209236,4.12E-07,7839.749586,6.23E-06,,0.066209236,0.669635736
0.066807885,4.19E-07,7780.499489,6.27E-06,,0.066807885,0.670636537
0.067412137,4.25E-07,7721.625585,6.31E-06,,0.067412137,0.671637337
0.068022051,4.32E-07,7663.125493,6.35E-06,,0.068022051,0.672638138
